payment_id,customer_id,staff_id,rental_id,amount,payment_date.1,payment_timestamp,last_update,payment_month,amount_category,payment_year
1,1,1,76,2.99,25-05-2005,11:30:37,15-02-2006 22:12,May-2005,Low,2005
2,1,1,573,0.99,28-05-2005,10:35:23,15-02-2006 22:12,May-2005,Low,2005
3,1,1,1185,5.99,15-06-2005,00:54:12,15-02-2006 22:12,Jun-2005,High,2005
4,1,2,1422,0.99,15-06-2005,18:02:53,15-02-2006 22:12,Jun-2005,Low,2005
5,1,2,1476,9.99,15-06-2005,21:08:46,15-02-2006 22:12,Jun-2005,High,2005
6,1,1,1725,4.99,16-06-2005,15:18:57,15-02-2006 22:12,Jun-2005,Low,2005
7,1,1,2308,4.99,18-06-2005,08:41:48,15-02-2006 22:12,Jun-2005,Low,2005
8,1,2,2363,0.99,18-06-2005,13:33:59,15-02-2006 22:12,Jun-2005,Low,2005
9,1,1,3284,3.99,21-06-2005,06:24:45,15-02-2006 22:12,Jun-2005,Low,2005
10,1,2,4526,5.99,08-07-2005,03:17:05,15-02-2006 22:12,Jul-2005,High,2005
11,1,1,4611,5.99,08-07-2005,07:33:56,15-02-2006 22:12,Jul-2005,High,2005
12,1,1,5244,4.99,09-07-2005,13:24:07,15-02-2006 22:12,Jul-2005,Low,2005
13,1,1,5326,4.99,09-07-2005,16:38:01,15-02-2006 22:12,Jul-2005,Low,2005
14,1,1,6163,7.99,11-07-2005,10:13:46,15-02-2006 22:12,Jul-2005,High,2005
15,1,2,7273,2.99,27-07-2005,11:31:22,15-02-2006 22:12,Jul-2005,Low,2005
16,1,1,7841,4.99,28-07-2005,09:04:45,15-02-2006 22:12,Jul-2005,Low,2005
17,1,2,8033,4.99,28-07-2005,16:18:23,15-02-2006 22:12,Jul-2005,Low,2005
18,1,1,8074,0.99,28-07-2005,17:33:39,15-02-2006 22:12,Jul-2005,Low,2005
19,1,2,8116,0.99,28-07-2005,19:20:07,15-02-2006 22:12,Jul-2005,Low,2005
20,1,2,8326,2.99,29-07-2005,03:58:49,15-02-2006 22:12,Jul-2005,Low,2005
21,1,2,9571,2.99,31-07-2005,02:42:18,15-02-2006 22:12,Jul-2005,Low,2005
22,1,2,10437,4.99,01-08-2005,08:51:04,15-02-2006 22:12,Aug-2005,Low,2005
23,1,2,11299,3.99,02-08-2005,15:36:52,15-02-2006 22:12,Aug-2005,Low,2005
24,1,1,11367,0.99,02-08-2005,18:01:38,15-02-2006 22:12,Aug-2005,Low,2005
25,1,2,11824,4.99,17-08-2005,12:37:54,15-02-2006 22:12,Aug-2005,Low,2005
26,1,1,12250,0.99,18-08-2005,03:57:29,15-02-2006 22:12,Aug-2005,Low,2005
27,1,2,13068,0.99,19-08-2005,09:55:16,15-02-2006 22:12,Aug-2005,Low,2005
28,1,2,13176,2.99,19-08-2005,13:56:54,15-02-2006 22:12,Aug-2005,Low,2005
29,1,1,14762,0.99,21-08-2005,23:33:57,15-02-2006 22:12,Aug-2005,Low,2005
30,1,1,14825,1.99,22-08-2005,01:27:57,15-02-2006 22:12,Aug-2005,Low,2005
31,1,2,15298,2.99,22-08-2005,19:41:37,15-02-2006 22:12,Aug-2005,Low,2005
32,1,1,15315,5.99,22-08-2005,20:03:46,15-02-2006 22:12,Aug-2005,High,2005
33,2,1,320,4.99,27-05-2005,00:09:24,15-02-2006 22:12,May-2005,Low,2005
34,2,1,2128,2.99,17-06-2005,20:54:58,15-02-2006 22:12,Jun-2005,Low,2005
35,2,1,5636,2.99,10-07-2005,06:31:24,15-02-2006 22:12,Jul-2005,Low,2005
36,2,1,5755,6.99,10-07-2005,12:38:56,15-02-2006 22:12,Jul-2005,High,2005
37,2,2,7346,4.99,27-07-2005,14:30:42,15-02-2006 22:12,Jul-2005,Low,2005
38,2,1,7376,5.99,27-07-2005,15:23:02,15-02-2006 22:12,Jul-2005,High,2005
39,2,2,7459,5.99,27-07-2005,18:40:20,15-02-2006 22:12,Jul-2005,High,2005
40,2,2,8230,5.99,29-07-2005,00:12:59,15-02-2006 22:12,Jul-2005,High,2005
41,2,1,8598,2.99,29-07-2005,12:56:59,15-02-2006 22:12,Jul-2005,Low,2005
42,2,2,8705,5.99,29-07-2005,17:14:29,15-02-2006 22:12,Jul-2005,High,2005
43,2,1,9031,4.99,30-07-2005,06:06:10,15-02-2006 22:12,Jul-2005,Low,2005
44,2,2,9236,10.99,30-07-2005,13:47:43,15-02-2006 22:12,Jul-2005,High,2005
45,2,2,9248,0.99,30-07-2005,14:14:11,15-02-2006 22:12,Jul-2005,Low,2005
46,2,2,9296,6.99,30-07-2005,16:21:13,15-02-2006 22:12,Jul-2005,High,2005
47,2,2,9465,6.99,30-07-2005,22:39:53,15-02-2006 22:12,Jul-2005,High,2005
48,2,1,10136,2.99,31-07-2005,21:58:56,15-02-2006 22:12,Jul-2005,Low,2005
49,2,1,10466,0.99,01-08-2005,09:45:26,15-02-2006 22:12,Aug-2005,Low,2005
50,2,1,10918,0.99,02-08-2005,02:10:56,15-02-2006 22:12,Aug-2005,Low,2005
51,2,1,11087,5.99,02-08-2005,07:41:41,15-02-2006 22:12,Aug-2005,High,2005
52,2,1,11177,6.99,02-08-2005,10:43:48,15-02-2006 22:12,Aug-2005,High,2005
53,2,2,11256,2.99,02-08-2005,13:44:53,15-02-2006 22:12,Aug-2005,Low,2005
54,2,1,11614,2.99,17-08-2005,03:52:18,15-02-2006 22:12,Aug-2005,Low,2005
55,2,1,12963,2.99,19-08-2005,06:26:04,15-02-2006 22:12,Aug-2005,Low,2005
56,2,1,14475,4.99,21-08-2005,13:24:32,15-02-2006 22:12,Aug-2005,Low,2005
57,2,2,14743,5.99,21-08-2005,22:41:56,15-02-2006 22:12,Aug-2005,High,2005
58,2,2,15145,4.99,22-08-2005,13:53:04,15-02-2006 22:12,Aug-2005,Low,2005
59,2,2,15907,4.99,23-08-2005,17:39:35,15-02-2006 22:12,Aug-2005,Low,2005
60,3,1,435,1.99,27-05-2005,17:17:09,15-02-2006 22:12,May-2005,Low,2005
61,3,1,830,2.99,29-05-2005,22:43:55,15-02-2006 22:12,May-2005,Low,2005
62,3,1,1546,8.99,16-06-2005,01:34:05,15-02-2006 22:12,Jun-2005,High,2005
63,3,1,1726,6.99,16-06-2005,15:19:10,15-02-2006 22:12,Jun-2005,High,2005
64,3,2,1911,6.99,17-06-2005,05:15:15,15-02-2006 22:12,Jun-2005,High,2005
65,3,1,2628,2.99,19-06-2005,08:34:53,15-02-2006 22:12,Jun-2005,Low,2005
66,3,1,4180,4.99,07-07-2005,10:23:25,15-02-2006 22:12,Jul-2005,Low,2005
67,3,1,4725,4.99,08-07-2005,12:47:11,15-02-2006 22:12,Jul-2005,Low,2005
68,3,1,7096,5.99,27-07-2005,04:54:42,15-02-2006 22:12,Jul-2005,High,2005
69,3,2,7503,10.99,27-07-2005,20:23:12,15-02-2006 22:12,Jul-2005,High,2005
70,3,2,7703,7.99,28-07-2005,03:59:21,15-02-2006 22:12,Jul-2005,High,2005
71,3,2,7724,6.99,28-07-2005,04:46:30,15-02-2006 22:12,Jul-2005,High,2005
72,3,1,7911,4.99,28-07-2005,11:46:45,15-02-2006 22:12,Jul-2005,Low,2005
73,3,2,8086,4.99,28-07-2005,18:17:14,15-02-2006 22:12,Jul-2005,Low,2005
74,3,1,8545,2.99,29-07-2005,11:07:04,15-02-2006 22:12,Jul-2005,Low,2005
75,3,1,9226,1.99,30-07-2005,13:31:20,15-02-2006 22:12,Jul-2005,Low,2005
76,3,2,9443,3.99,30-07-2005,21:45:46,15-02-2006 22:12,Jul-2005,Low,2005
77,3,1,9595,2.99,31-07-2005,03:27:58,15-02-2006 22:12,Jul-2005,Low,2005
78,3,2,9816,4.99,31-07-2005,11:32:58,15-02-2006 22:12,Jul-2005,Low,2005
79,3,2,10597,5.99,01-08-2005,14:19:48,15-02-2006 22:12,Aug-2005,High,2005
80,3,2,12556,4.99,18-08-2005,14:49:55,15-02-2006 22:12,Aug-2005,Low,2005
81,3,1,13403,8.99,19-08-2005,22:18:07,15-02-2006 22:12,Aug-2005,High,2005
82,3,2,13610,2.99,20-08-2005,06:14:12,15-02-2006 22:12,Aug-2005,Low,2005
83,3,2,14699,8.99,21-08-2005,20:50:48,15-02-2006 22:12,Aug-2005,High,2005
84,3,2,15038,0.99,22-08-2005,09:37:27,15-02-2006 22:12,Aug-2005,Low,2005
85,3,1,15619,2.99,23-08-2005,07:10:14,15-02-2006 22:12,Aug-2005,Low,2005
86,4,1,1297,4.99,15-06-2005,09:31:28,15-02-2006 22:12,Jun-2005,Low,2005
87,4,1,1633,0.99,16-06-2005,08:08:40,15-02-2006 22:12,Jun-2005,Low,2005
88,4,2,1707,2.99,16-06-2005,14:01:27,15-02-2006 22:12,Jun-2005,Low,2005
89,4,2,1735,0.99,16-06-2005,15:51:52,15-02-2006 22:12,Jun-2005,Low,2005
90,4,2,2043,0.99,17-06-2005,14:31:12,15-02-2006 22:12,Jun-2005,Low,2005
91,4,1,2642,5.99,19-06-2005,09:39:01,15-02-2006 22:12,Jun-2005,High,2005
92,4,1,7660,2.99,28-07-2005,02:10:10,15-02-2006 22:12,Jul-2005,Low,2005
93,4,2,7718,2.99,28-07-2005,04:37:59,15-02-2006 22:12,Jul-2005,Low,2005
94,4,1,8741,3.99,29-07-2005,18:44:57,15-02-2006 22:12,Jul-2005,Low,2005
95,4,1,9100,5.99,30-07-2005,08:46:09,15-02-2006 22:12,Jul-2005,High,2005
